Crop,N,P,K,pH
Rice,80,40,40,5.5
Jowar(Sorghum),80,40,40,5.5
Barley(JAV),70,40,45,5.5
Maize,80,40,20,5.5
Ragi( naachnnii),50,40,20,5.5
Chickpeas(Channa),40,60,80,5.5
French Beans(Farasbi),90,125,60,5
Fava beans (Papdi - Val),90,125,60,5
Lima beans(Pavta),40,60,20,5
Cluster Beans(Gavar),25,50,25,5
Soyabean,20,60,20,5.5
Black eyed beans( chawli),20,60,20,5.5
Kidney beans,20,60,20,5.5
pigeon peas(Toor Dal),20,60,20,5.5
Moth bean(Matki),20,40,20,5.5
Mung beans,20,40,20,5.5
Green Peas,40,35,55,6
Horse Gram(kulthi),20,60,20,6
Black Gram,40,60,20,5
Rapeseed (Mohri),50,40,20,5
Coriander seeds,90,20,20,6.5
Mustard seeds,100,30,15,6.5
sesame seed,30,15,30,6.5
Cumin seeds,90,60,20,6.5
Lentils(Masoor Dal),20,60,20,5.5
Brinjal,80,15,40,6.5
Beetroot,120,50,100,5.5
Bitter Gourd,60,10,20,6.5
Bottle Gourd,100,50,50,6.5
Capsicum,100,20,60,6.5
Cabbage,100,65,70,6.5
Carrot,40,45,60,5.5
Cauliflower,80,70,50,6.5
Cucumber,60,60,85,6.5
Coriander leaves,10,20,20,6.5
Curry leaves,20,20,20,6.5
Drumstick – moringa,40,20,10,6.5
Chili,120,20,80,6.5
Lady Finger,80,10,40,6.5
Mushroom,100,50,60,6.5
Onion,120,60,65,6
Potato,180,60,90,5
Pumpkin,80,50,30,5.5
Radish,25,100,50,6
Olive,100,60,30,6.5
Sweet Potato,90,20,120,5
Fenugreek Leaf(methi),30,25,40,6
Spinach,60,60,50,6
Ridgegourd,90,50,20,6.5
Gooseberry(Amla),20,50,20,4.5
Jambun(Syzygium cumini),10,10,10,4.2
Ziziphus mauritiana(Bor),20,10,10,6
Garcinia indica(kokam),40,25,50,4.2
Tamarind,20,15,25,3.1
Tapioca(Suran),50,50,50,5.5
Garlic,50,10,60,5.5
Lemon,20,10,10,3.1
Tomato,100,40,90,6
Ash Gourd,60,10,30,5.5
Pineapple,160,40,120,6.5
Pomegranate,20,10,40,5.5
Banana,100,75,50,6.5
Mango,20,20,30,5
Grapes,20,125,200,4
Jackfruit,75,40,50,5
Guava,50,50,50,5
Water Melon,100,10,50,5.5
Musk Melon,100,10,50,5.5
Apricot,40,50,25,6.5
Apple,20,125,200,6.5
Chickoo,40,30,60,5
Custard apple,40,20,40,6.5
Dates,40,125,20,6.5
Figs,20,60,20,5
Orange,20,10,10,4
Papaya,50,50,50,6
Aniseed,100,50,20,5
Asafoetida,90,40,20,5
Bay Leaf,100,50,25,5
Black Pepper,100,60,50,5
Cardamom,75,75,150,5
Cinnamon,20,20,25,5
Cloves,20,20,60,5
Jaiphal(Nutmeg),20,20,60,5
Ginger,40,50,20,5
Turmeric,25,60,100,5
Cashewnuts,70,40,60,6
Raisins,60,30,30,6
Coconut,20,10,30,5
Almond Nut,70,20,10,6
Arecanut,100,40,140,6
Pistachio Nut,90,20,20,6
Lemon Grass,25,40,40,5.5
Cotton,120,40,20,5.5
Jute,80,40,40,5.5
Coffee,100,20,30,5.5
Sunflower,50,60,30,5.5
Rice,80,40,40,5.52
Jowar(Sorghum),80,40,40,5.52
Barley(JAV),70,40,45,5.52
Maize,80,40,20,5.52
Ragi( naachnnii),50,40,20,5.52
Chickpeas(Channa),40,60,80,5.52
French Beans(Farasbi),90,125,60,5.02
Fava beans (Papdi - Val),90,125,60,5.02
Lima beans(Pavta),40,60,20,5.02
Cluster Beans(Gavar),25,50,25,5.02
Soyabean,20,60,20,5.52
Black eyed beans( chawli),20,60,20,5.52
Kidney beans,20,60,20,5.52
pigeon peas(Toor Dal),20,60,20,5.52
Moth bean(Matki),20,40,20,5.52
Mung beans,20,40,20,5.52
Green Peas,40,35,55,6.02
Horse Gram(kulthi),20,60,20,6.02
Black Gram,40,60,20,5.02
Rapeseed (Mohri),50,40,20,5.02
Coriander seeds,90,20,20,6.52
Mustard seeds,100,30,15,6.52
sesame seed,30,15,30,6.52
Cumin seeds,90,60,20,6.52
Lentils(Masoor Dal),20,60,20,5.52
Brinjal,80,15,40,6.52
Beetroot,120,50,100,5.52
Bitter Gourd,60,10,20,6.52
Bottle Gourd,100,50,50,6.52
Capsicum,100,20,60,6.52
Cabbage,100,65,70,6.52
Carrot,40,45,60,5.52
Cauliflower,80,70,50,6.52
Cucumber,60,60,85,6.52
Coriander leaves,10,20,20,6.52
Curry leaves,20,20,20,6.52
Drumstick – moringa,40,20,10,6.52
Chili,120,20,80,6.52
Lady Finger,80,10,40,6.52
Mushroom,100,50,60,6.52
Onion,120,60,65,6.02
Potato,180,60,90,5.02
Pumpkin,80,50,30,5.52
Radish,25,100,50,6.02
Olive,100,60,30,6.52
Sweet Potato,90,20,120,5.02
Fenugreek Leaf(methi),30,25,40,6.02
Spinach,60,60,50,6.02
Ridgegourd,90,50,20,6.52
Gooseberry(Amla),20,50,20,4.52
Jambun(Syzygium cumini),10,10,10,4.22
Ziziphus mauritiana(Bor),20,10,10,6.02
Garcinia indica(kokam),40,25,50,4.22
Tamarind,20,15,25,3.12
Tapioca(Suran),50,50,50,5.52
Garlic,50,10,60,5.52
Lemon,20,10,10,3.12
Tomato,100,40,90,6.02
Ash Gourd,60,10,30,5.52
Pineapple,160,40,120,6.52
Pomegranate,20,10,40,5.52
Banana,100,75,50,6.52
Mango,20,20,30,5.02
Grapes,20,125,200,4.02
Jackfruit,75,40,50,5.02
Guava,50,50,50,5.02
Water Melon,100,10,50,5.52
Musk Melon,100,10,50,5.52
Apricot,40,50,25,6.52
Apple,20,125,200,6.52
Chickoo,40,30,60,5.02
Custard apple,40,20,40,6.52
Dates,40,125,20,6.52
Figs,20,60,20,5.02
Orange,20,10,10,4.02
Papaya,50,50,50,6.02
Aniseed,100,50,20,5.02
Asafoetida,90,40,20,5.02
Bay Leaf,100,50,25,5.02
Black Pepper,100,60,50,5.02
Cardamom,75,75,150,5.02
Cinnamon,20,20,25,5.02
Cloves,20,20,60,5.02
Jaiphal(Nutmeg),20,20,60,5.02
Ginger,40,50,20,5.02
Turmeric,25,60,100,5.02
Cashewnuts,70,40,60,6.02
Raisins,60,30,30,6.02
Coconut,20,10,30,5.02
Almond Nut,70,20,10,6.02
Arecanut,100,40,140,6.02
Pistachio Nut,90,20,20,6.02
Lemon Grass,25,40,40,5.52
Cotton,120,40,20,5.52
Jute,80,40,40,5.52
Coffee,100,20,30,5.52
Sunflower,50,60,30,5.52
Rice,80,40,40,5.54
Jowar(Sorghum),80,40,40,5.54
Barley(JAV),70,40,45,5.54
Maize,80,40,20,5.54
Ragi( naachnnii),50,40,20,5.54
Chickpeas(Channa),40,60,80,5.54
French Beans(Farasbi),90,125,60,5.04
Fava beans (Papdi - Val),90,125,60,5.04
Lima beans(Pavta),40,60,20,5.04
Cluster Beans(Gavar),25,50,25,5.04
Soyabean,20,60,20,5.54
Black eyed beans( chawli),20,60,20,5.54
Kidney beans,20,60,20,5.54
pigeon peas(Toor Dal),20,60,20,5.54
Moth bean(Matki),20,40,20,5.54
Mung beans,20,40,20,5.54
Green Peas,40,35,55,6.04
Horse Gram(kulthi),20,60,20,6.04
Black Gram,40,60,20,5.04
Rapeseed (Mohri),50,40,20,5.04
Coriander seeds,90,20,20,6.54
Mustard seeds,100,30,15,6.54
sesame seed,30,15,30,6.54
Cumin seeds,90,60,20,6.54
Lentils(Masoor Dal),20,60,20,5.54
Brinjal,80,15,40,6.54
Beetroot,120,50,100,5.54
Bitter Gourd,60,10,20,6.54
Bottle Gourd,100,50,50,6.54
Capsicum,100,20,60,6.54
Cabbage,100,65,70,6.54
Carrot,40,45,60,5.54
Cauliflower,80,70,50,6.54
Cucumber,60,60,85,6.54
Coriander leaves,10,20,20,6.54
Curry leaves,20,20,20,6.54
Drumstick – moringa,40,20,10,6.54
Chili,120,20,80,6.54
Lady Finger,80,10,40,6.54
Mushroom,100,50,60,6.54
Onion,120,60,65,6.04
Potato,180,60,90,5.04
Pumpkin,80,50,30,5.54
Radish,25,100,50,6.04
Olive,100,60,30,6.54
Sweet Potato,90,20,120,5.04
Fenugreek Leaf(methi),30,25,40,6.04
Spinach,60,60,50,6.04
Ridgegourd,90,50,20,6.54
Gooseberry(Amla),20,50,20,4.54
Jambun(Syzygium cumini),10,10,10,4.24
Ziziphus mauritiana(Bor),20,10,10,6.04
Garcinia indica(kokam),40,25,50,4.24
Tamarind,20,15,25,3.14
Tapioca(Suran),50,50,50,5.54
Garlic,50,10,60,5.54
Lemon,20,10,10,3.14
Tomato,100,40,90,6.04
Ash Gourd,60,10,30,5.54
Pineapple,160,40,120,6.54
Pomegranate,20,10,40,5.54
Banana,100,75,50,6.54
Mango,20,20,30,5.04
Grapes,20,125,200,4.04
Jackfruit,75,40,50,5.04
Guava,50,50,50,5.04
Water Melon,100,10,50,5.54
Musk Melon,100,10,50,5.54
Apricot,40,50,25,6.54
Apple,20,125,200,6.54
Chickoo,40,30,60,5.04
Custard apple,40,20,40,6.54
Dates,40,125,20,6.54
Figs,20,60,20,5.04
Orange,20,10,10,4.04
Papaya,50,50,50,6.04
Aniseed,100,50,20,5.04
Asafoetida,90,40,20,5.04
Bay Leaf,100,50,25,5.04
Black Pepper,100,60,50,5.04
Cardamom,75,75,150,5.04
Cinnamon,20,20,25,5.04
Cloves,20,20,60,5.04
Jaiphal(Nutmeg),20,20,60,5.04
Ginger,40,50,20,5.04
Turmeric,25,60,100,5.04
Cashewnuts,70,40,60,6.04
Raisins,60,30,30,6.04
Coconut,20,10,30,5.04
Almond Nut,70,20,10,6.04
Arecanut,100,40,140,6.04
Pistachio Nut,90,20,20,6.04
Lemon Grass,25,40,40,5.54
Cotton,120,40,20,5.54
Jute,80,40,40,5.54
Coffee,100,20,30,5.54
Sunflower,50,60,30,5.54
Rice,80,40,40,5.56
Jowar(Sorghum),80,40,40,5.56
Barley(JAV),70,40,45,5.56
Maize,80,40,20,5.56
Ragi( naachnnii),50,40,20,5.56
Chickpeas(Channa),40,60,80,5.56
French Beans(Farasbi),90,125,60,5.06
Fava beans (Papdi - Val),90,125,60,5.06
Lima beans(Pavta),40,60,20,5.06
Cluster Beans(Gavar),25,50,25,5.06
Soyabean,20,60,20,5.56
Black eyed beans( chawli),20,60,20,5.56
Kidney beans,20,60,20,5.56
pigeon peas(Toor Dal),20,60,20,5.56
Moth bean(Matki),20,40,20,5.56
Mung beans,20,40,20,5.56
Green Peas,40,35,55,6.06
Horse Gram(kulthi),20,60,20,6.06
Black Gram,40,60,20,5.06
Rapeseed (Mohri),50,40,20,5.06
Coriander seeds,90,20,20,6.56
Mustard seeds,100,30,15,6.56
sesame seed,30,15,30,6.56
Cumin seeds,90,60,20,6.56
Lentils(Masoor Dal),20,60,20,5.56
Brinjal,80,15,40,6.56
Beetroot,120,50,100,5.56
Bitter Gourd,60,10,20,6.56
Bottle Gourd,100,50,50,6.56
Capsicum,100,20,60,6.56
Cabbage,100,65,70,6.56
Carrot,40,45,60,5.56
Cauliflower,80,70,50,6.56
Cucumber,60,60,85,6.56
Coriander leaves,10,20,20,6.56
Curry leaves,20,20,20,6.56
Drumstick – moringa,40,20,10,6.56
Chili,120,20,80,6.56
Lady Finger,80,10,40,6.56
Mushroom,100,50,60,6.56
Onion,120,60,65,6.06
Potato,180,60,90,5.06
Pumpkin,80,50,30,5.56
Radish,25,100,50,6.06
Olive,100,60,30,6.56
Sweet Potato,90,20,120,5.06
Fenugreek Leaf(methi),30,25,40,6.06
Spinach,60,60,50,6.06
Ridgegourd,90,50,20,6.56
Gooseberry(Amla),20,50,20,4.56
Jambun(Syzygium cumini),10,10,10,4.26
Ziziphus mauritiana(Bor),20,10,10,6.06
Garcinia indica(kokam),40,25,50,4.26
Tamarind,20,15,25,3.16
Tapioca(Suran),50,50,50,5.56
Garlic,50,10,60,5.56
Lemon,20,10,10,3.16
Tomato,100,40,90,6.06
Ash Gourd,60,10,30,5.56
Pineapple,160,40,120,6.56
Pomegranate,20,10,40,5.56
Banana,100,75,50,6.56
Mango,20,20,30,5.06
Grapes,20,125,200,4.06
Jackfruit,75,40,50,5.06
Guava,50,50,50,5.06
Water Melon,100,10,50,5.56
Musk Melon,100,10,50,5.56
Apricot,40,50,25,6.56
Apple,20,125,200,6.56
Chickoo,40,30,60,5.06
Custard apple,40,20,40,6.56
Dates,40,125,20,6.56
Figs,20,60,20,5.06
Orange,20,10,10,4.06
Papaya,50,50,50,6.06
Aniseed,100,50,20,5.06
Asafoetida,90,40,20,5.06
Bay Leaf,100,50,25,5.06
Black Pepper,100,60,50,5.06
Cardamom,75,75,150,5.06
Cinnamon,20,20,25,5.06
Cloves,20,20,60,5.06
Jaiphal(Nutmeg),20,20,60,5.06
Ginger,40,50,20,5.06
Turmeric,25,60,100,5.06
Cashewnuts,70,40,60,6.06
Raisins,60,30,30,6.06
Coconut,20,10,30,5.06
Almond Nut,70,20,10,6.06
Arecanut,100,40,140,6.06
Pistachio Nut,90,20,20,6.06
Lemon Grass,25,40,40,5.56
Cotton,120,40,20,5.56
Jute,80,40,40,5.56
Coffee,100,20,30,5.56
Sunflower,50,60,30,5.56
Rice,80,40,40,5.58
Jowar(Sorghum),80,40,40,5.58
Barley(JAV),70,40,45,5.58
Maize,80,40,20,5.58
Ragi( naachnnii),50,40,20,5.58
Chickpeas(Channa),40,60,80,5.58
French Beans(Farasbi),90,125,60,5.08
Fava beans (Papdi - Val),90,125,60,5.08
Lima beans(Pavta),40,60,20,5.08
Cluster Beans(Gavar),25,50,25,5.08
Soyabean,20,60,20,5.58
Black eyed beans( chawli),20,60,20,5.58
Kidney beans,20,60,20,5.58
pigeon peas(Toor Dal),20,60,20,5.58
Moth bean(Matki),20,40,20,5.58
Mung beans,20,40,20,5.58
Green Peas,40,35,55,6.08
Horse Gram(kulthi),20,60,20,6.08
Black Gram,40,60,20,5.08
Rapeseed (Mohri),50,40,20,5.08
Coriander seeds,90,20,20,6.58
Mustard seeds,100,30,15,6.58
sesame seed,30,15,30,6.58
Cumin seeds,90,60,20,6.58
Lentils(Masoor Dal),20,60,20,5.58
Brinjal,80,15,40,6.58
Beetroot,120,50,100,5.58
Bitter Gourd,60,10,20,6.58
Bottle Gourd,100,50,50,6.58
Capsicum,100,20,60,6.58
Cabbage,100,65,70,6.58
Carrot,40,45,60,5.58
Cauliflower,80,70,50,6.58
Cucumber,60,60,85,6.58
Coriander leaves,10,20,20,6.58
Curry leaves,20,20,20,6.58
Drumstick – moringa,40,20,10,6.58
Chili,120,20,80,6.58
Lady Finger,80,10,40,6.58
Mushroom,100,50,60,6.58
Onion,120,60,65,6.08
Potato,180,60,90,5.08
Pumpkin,80,50,30,5.58
Radish,25,100,50,6.08
Olive,100,60,30,6.58
Sweet Potato,90,20,120,5.08
Fenugreek Leaf(methi),30,25,40,6.08
Spinach,60,60,50,6.08
Ridgegourd,90,50,20,6.58
Gooseberry(Amla),20,50,20,4.58
Jambun(Syzygium cumini),10,10,10,4.28
Ziziphus mauritiana(Bor),20,10,10,6.08
Garcinia indica(kokam),40,25,50,4.28
Tamarind,20,15,25,3.18
Tapioca(Suran),50,50,50,5.58
Garlic,50,10,60,5.58
Lemon,20,10,10,3.18
Tomato,100,40,90,6.08
Ash Gourd,60,10,30,5.58
Pineapple,160,40,120,6.58
Pomegranate,20,10,40,5.58
Banana,100,75,50,6.58
Mango,20,20,30,5.08
Grapes,20,125,200,4.08
Jackfruit,75,40,50,5.08
Guava,50,50,50,5.08
Water Melon,100,10,50,5.58
Musk Melon,100,10,50,5.58
Apricot,40,50,25,6.58
Apple,20,125,200,6.58
Chickoo,40,30,60,5.08
Custard apple,40,20,40,6.58
Dates,40,125,20,6.58
Figs,20,60,20,5.08
Orange,20,10,10,4.08
Papaya,50,50,50,6.08
Aniseed,100,50,20,5.08
Asafoetida,90,40,20,5.08
Bay Leaf,100,50,25,5.08
Black Pepper,100,60,50,5.08
Cardamom,75,75,150,5.08
Cinnamon,20,20,25,5.08
Cloves,20,20,60,5.08
Jaiphal(Nutmeg),20,20,60,5.08
Ginger,40,50,20,5.08
Turmeric,25,60,100,5.08
Cashewnuts,70,40,60,6.08
Raisins,60,30,30,6.08
Coconut,20,10,30,5.08
Almond Nut,70,20,10,6.08
Arecanut,100,40,140,6.08
Pistachio Nut,90,20,20,6.08
Lemon Grass,25,40,40,5.58
Cotton,120,40,20,5.58
Jute,80,40,40,5.58
Coffee,100,20,30,5.58
Sunflower,50,60,30,5.58
Rice,80,40,40,5.6
Jowar(Sorghum),80,40,40,5.6
Barley(JAV),70,40,45,5.6
Maize,80,40,20,5.6
Ragi( naachnnii),50,40,20,5.6
Chickpeas(Channa),40,60,80,5.6
French Beans(Farasbi),90,125,60,5.1
Fava beans (Papdi - Val),90,125,60,5.1
Lima beans(Pavta),40,60,20,5.1
Cluster Beans(Gavar),25,50,25,5.1
Soyabean,20,60,20,5.6
Black eyed beans( chawli),20,60,20,5.6
Kidney beans,20,60,20,5.6
pigeon peas(Toor Dal),20,60,20,5.6
Moth bean(Matki),20,40,20,5.6
Mung beans,20,40,20,5.6
Green Peas,40,35,55,6.1
Horse Gram(kulthi),20,60,20,6.1
Black Gram,40,60,20,5.1
Rapeseed (Mohri),50,40,20,5.1
Coriander seeds,90,20,20,6.6
Mustard seeds,100,30,15,6.6
sesame seed,30,15,30,6.6
Cumin seeds,90,60,20,6.6
Lentils(Masoor Dal),20,60,20,5.6
Brinjal,80,15,40,6.6
Beetroot,120,50,100,5.6
Bitter Gourd,60,10,20,6.6
Bottle Gourd,100,50,50,6.6
Capsicum,100,20,60,6.6
Cabbage,100,65,70,6.6
Carrot,40,45,60,5.6
Cauliflower,80,70,50,6.6
Cucumber,60,60,85,6.6
Coriander leaves,10,20,20,6.6
Curry leaves,20,20,20,6.6
Drumstick – moringa,40,20,10,6.6
Chili,120,20,80,6.6
Lady Finger,80,10,40,6.6
Mushroom,100,50,60,6.6
Onion,120,60,65,6.1
Potato,180,60,90,5.1
Pumpkin,80,50,30,5.6
Radish,25,100,50,6.1
Olive,100,60,30,6.6
Sweet Potato,90,20,120,5.1
Fenugreek Leaf(methi),30,25,40,6.1
Spinach,60,60,50,6.1
Ridgegourd,90,50,20,6.6
Gooseberry(Amla),20,50,20,4.6
Jambun(Syzygium cumini),10,10,10,4.3
Ziziphus mauritiana(Bor),20,10,10,6.1
Garcinia indica(kokam),40,25,50,4.3
Tamarind,20,15,25,3.2
Tapioca(Suran),50,50,50,5.6
Garlic,50,10,60,5.6
Lemon,20,10,10,3.2
Tomato,100,40,90,6.1
Ash Gourd,60,10,30,5.6
Pineapple,160,40,120,6.6
Pomegranate,20,10,40,5.6
Banana,100,75,50,6.6
Mango,20,20,30,5.1
Grapes,20,125,200,4.1
Jackfruit,75,40,50,5.1
Guava,50,50,50,5.1
Water Melon,100,10,50,5.6
Musk Melon,100,10,50,5.6
Apricot,40,50,25,6.6
Apple,20,125,200,6.6
Chickoo,40,30,60,5.1
Custard apple,40,20,40,6.6
Dates,40,125,20,6.6
Figs,20,60,20,5.1
Orange,20,10,10,4.1
Papaya,50,50,50,6.1
Aniseed,100,50,20,5.1
Asafoetida,90,40,20,5.1
Bay Leaf,100,50,25,5.1
Black Pepper,100,60,50,5.1
Cardamom,75,75,150,5.1
Cinnamon,20,20,25,5.1
Cloves,20,20,60,5.1
Jaiphal(Nutmeg),20,20,60,5.1
Ginger,40,50,20,5.1
Turmeric,25,60,100,5.1
Cashewnuts,70,40,60,6.1
Raisins,60,30,30,6.1
Coconut,20,10,30,5.1
Almond Nut,70,20,10,6.1
Arecanut,100,40,140,6.1
Pistachio Nut,90,20,20,6.1
Lemon Grass,25,40,40,5.6
Cotton,120,40,20,5.6
Jute,80,40,40,5.6
Coffee,100,20,30,5.6
Sunflower,50,60,30,5.6
Rice,80,40,40,5.62
Jowar(Sorghum),80,40,40,5.62
Barley(JAV),70,40,45,5.62
Maize,80,40,20,5.62
Ragi( naachnnii),50,40,20,5.62
Chickpeas(Channa),40,60,80,5.62
French Beans(Farasbi),90,125,60,5.12
Fava beans (Papdi - Val),90,125,60,5.12
Lima beans(Pavta),40,60,20,5.12
Cluster Beans(Gavar),25,50,25,5.12
Soyabean,20,60,20,5.62
Black eyed beans( chawli),20,60,20,5.62
Kidney beans,20,60,20,5.62
pigeon peas(Toor Dal),20,60,20,5.62
Moth bean(Matki),20,40,20,5.62
Mung beans,20,40,20,5.62
Green Peas,40,35,55,6.12
Horse Gram(kulthi),20,60,20,6.12
Black Gram,40,60,20,5.12
Rapeseed (Mohri),50,40,20,5.12
Coriander seeds,90,20,20,6.62
Mustard seeds,100,30,15,6.62
sesame seed,30,15,30,6.62
Cumin seeds,90,60,20,6.62
Lentils(Masoor Dal),20,60,20,5.62
Brinjal,80,15,40,6.62
Beetroot,120,50,100,5.62
Bitter Gourd,60,10,20,6.62
Bottle Gourd,100,50,50,6.62
Capsicum,100,20,60,6.62
Cabbage,100,65,70,6.62
Carrot,40,45,60,5.62
Cauliflower,80,70,50,6.62
Cucumber,60,60,85,6.62
